iShares MSCI ACWI ETF
Fund Holdings as of,"Mar 17, 2025"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"160,600,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SAN","BANCO SANTANDER SA","Financials","Equity","26,655,618.33","0.14","26,655,618.33","3,857,524.00","6.91","Spain","Bolsa De Madrid","USD","0.92","EUR","-"
"AIR","AIRBUS GROUP","Industrials","Equity","26,056,715.92","0.14","26,056,715.92","139,326.00","187.02","France","Nyse Euronext - Euronext Paris","USD","0.92","EUR","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","25,980,756.48","0.14","25,980,756.48","122,736.00","211.68","United States","NASDAQ","USD","1.00","USD","-"
"BX","BLACKSTONE INC","Financials","Equity","25,906,277.34","0.14","25,906,277.34","175,303.00","147.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","25,893,995.48","0.14","25,893,995.48","226,267.00","114.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TD","TORONTO DOMINION","Financials","Equity","25,267,931.89","0.13","25,267,931.89","423,437.00","59.67","Canada","Toronto Stock Exchange","USD","1.43","CAD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","24,692,552.58","0.13","24,692,552.58","315,318.00","78.31","United States","NASDAQ","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","24,646,292.70","0.13","24,646,292.70","418,443.00","58.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","24,334,892.01","0.13","24,334,892.01","52,041.00","467.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CFR","COMPAGNIE FINANCIERE RICHEMONT SA","Consumer Discretionary","Equity","24,264,369.93","0.13","24,264,369.93","130,384.00","186.10","Switzerland","SIX Swiss Exchange","USD","0.88","CHF","-"
"ZURN","ZURICH INSURANCE GROUP AG","Financials","Equity","24,255,474.38","0.13","24,255,474.38","35,226.00","688.57","Switzerland","SIX Swiss Exchange","USD","0.88","CHF","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","24,223,689.48","0.13","24,223,689.48","113,892.00","212.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","24,115,623.54","0.13","24,115,623.54","56,006.00","430.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","23,913,276.22","0.13","23,913,276.22","138,371.00","172.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"8316","SUMITOMO MITSUI FINANCIAL GROUP IN","Financials","Equity","23,881,447.18","0.13","23,881,447.18","911,600.00","26.20","Japan","Tokyo Stock Exchange","USD","148.57","JPY","-"
"SO","SOUTHERN","Utilities","Equity","23,661,270.90","0.12","23,661,270.90","261,335.00","90.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBE","IBERDROLA SA","Utilities","Equity","23,620,642.75","0.12","23,620,642.75","1,536,055.00","15.38","Spain","Bolsa De Madrid","USD","0.92","EUR","-"
